,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,30.3,24.1,1.3,0.8,1.2,0.9,0500000US04003
2,19.3,19.1,0.7,0.7,0.7,0.7,0500000US04005
3,20.6,11.3,0.9,0.3,1,0.4,0500000US04007
4,26.8,24.1,0.9,0.8,0.9,0.8,0500000US04009
5,14.7,10.4,0.5,0.3,0.5,0.3,0500000US04011
6,4.3,2.1,0.2,0.1,0.2,0.1,0500000US04012
7,36.1,33.2,1.4,1.2,1.4,1.2,0500000US04013
8,33.1,26.6,1.1,0.8,1.1,0.8,0500000US04015
9,11.1,8.9,0.4,0.3,0.4,0.3,0500000US04017
10,35.4,31.8,1.3,1.1,1.3,1,0500000US04019
11,30.9,27.1,1.1,0.9,1.1,0.9,0500000US04021
12,19.2,16.5,1.2,0.9,1.1,0.8,0500000US04023
13,36.4,31.7,1.3,1,1.2,0.9,0500000US04025
14,22.8,15.4,1.1,0.6,1.1,0.7,0500000US04027
15,1.3,1,0.1,0,0.1,0,0500000US04001
1,37,33.5,1.8,1.5,1.8,1.6,0500000US09003
2,34.3,32.9,1.7,1.5,1.7,1.6,0500000US09005
3,33.2,31.9,1.5,1.4,1.4,1.4,0500000US09015
4,34.9,30.7,1.6,1.3,1.7,1.4,0500000US09009
5,37.2,34.6,1.7,1.6,1.7,1.5,0500000US09011
6,38.8,38.4,2,2,2,2,0500000US09013
7,35.3,33.5,1.7,1.6,1.7,1.6,0500000US09001
8,36.9,35,1.8,1.7,1.8,1.7,0500000US09007
1,29.7,18.1,1.2,0.5,1.1,0.5,0500000US05001
2,33.7,12.6,1.4,0.4,1.5,0.5,0500000US05003
3,41.9,19.8,1.9,0.6,1.9,0.6,0500000US05005
4,37.4,35.3,1.3,1.1,1.3,1.1,0500000US05007
5,34.5,26.6,1.4,0.9,1.4,0.9,0500000US05009
6,27.2,10,1.4,0.4,1.3,0.3,0500000US05011
7,16.8,6.6,0.8,0.2,0.8,0.2,0500000US05013
8,34.7,15.3,2.2,0.7,2.1,0.7,0500000US05015
9,27.4,9.7,1.9,0.6,1.8,0.6,0500000US05017
10,32.6,18.5,1.4,0.6,1.4,0.6,0500000US05019
11,37.8,11.9,1.8,0.5,1.9,0.5,0500000US05021
12,32.3,11,1.5,0.4,1.5,0.4,0500000US05023
13,33.8,11.5,1.6,0.5,1.6,0.5,0500000US05025
14,30.9,17.1,1.6,0.6,1.5,0.6,0500000US05027
15,34.3,20,1.3,0.8,1.4,0.8,0500000US05029
16,35.6,27.1,1.3,0.8,1.3,0.8,0500000US05031
17,33.5,22.6,1.4,0.7,1.4,0.7,0500000US05033
18,35.3,20.9,1.7,0.8,1.8,0.9,0500000US05035
19,33.2,17.2,1.6,0.6,1.8,0.7,0500000US05037
20,39.4,12.8,1.9,0.5,1.9,0.5,0500000US05047
21,29.2,11.6,1.3,0.5,1.3,0.5,0500000US05041
22,35,14.1,1.7,0.6,1.7,0.6,0500000US05043
23,38.9,33,1.4,1.1,1.4,1.1,0500000US05045
24,28,8.9,1.5,0.4,1.5,0.4,0500000US05049
25,35,21.7,1.4,0.7,1.4,0.7,0500000US05051
26,33.1,22,1.2,0.8,1.3,0.8,0500000US05053
27,37.7,26.5,1.5,0.8,1.5,0.8,0500000US05055
28,31.4,12.2,1.7,0.7,1.7,0.7,0500000US05057
29,37.1,17.1,1.8,0.6,1.7,0.6,0500000US05059
30,30.3,10.5,1.2,0.6,1.2,0.6,0500000US05061
31,35.4,23.3,1.4,0.7,1.5,0.7,0500000US05063
32,13.4,4.7,0.7,0.2,0.7,0.2,0500000US05065
33,26,9.5,1.4,0.3,1.5,0.3,0500000US05067
34,34.8,19.3,1.5,0.5,1.5,0.6,0500000US05069
35,26.2,13.8,1.5,0.7,1.5,0.7,0500000US05071
36,23,7.6,1.2,0.4,1.2,0.4,0500000US05073
37,31.2,18.4,1.5,0.6,1.6,0.7,0500000US05075
38,27.3,8.8,1.2,0.5,1.3,0.5,0500000US05077
39,28.3,10.6,1.1,0.5,1.2,0.5,0500000US05079
40,30.2,10.1,1.5,0.7,1.6,0.8,0500000US05081
41,34.2,10.7,2.2,0.4,2.1,0.4,0500000US05083
42,36.6,31.9,1.2,0.9,1.2,1,0500000US05085
