,GEO_ID,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT
1,0400000US04,33.3,29.8,0.9,0.7,1.2,1
2,0400000US09,35.9,33.1,1.7,1.6,1.7,1.6
3,0400000US05,33.7,23.3,1.5,0.6,1.4,0.8
4,0400000US08,36.2,34.3,1.2,0.8,1.6,1.4
5,0400000US10,34.3,31,1.8,1.5,1.8,1.6
6,0400000US01,36,25.9,1.8,0.8,1.7,1
7,0400000US13,32.6,27.8,1.6,0.8,1.6,1.3
8,0400000US11,32,29.6,1.6,1.4,1.6,1.4
9,0400000US12,34.3,28.9,1.6,0.9,1.6,1.2
10,0400000US20,39.2,33.7,1.6,0.9,1.6,1.2
11,0400000US17,37.6,33.5,1.7,1.2,1.8,1.6
12,0400000US22,33.1,25.3,1.4,0.7,1.3,0.8
13,0400000US24,36.5,34,1.7,1.5,1.8,1.7
14,0400000US25,36.8,34.8,1.4,1.3,1.6,1.5
15,0400000US29,36.6,30.5,1.6,0.9,1.6,1.2
16,0400000US35,25.1,21.5,0.8,0.6,1.1,0.9
17,0400000US37,31.6,26.6,1.4,1,1.5,1.3
18,0400000US33,33.3,31.8,1.5,1.3,1.6,1.6
19,0400000US30,28,24.2,0.8,0.6,1.2,1
20,0400000US31,41.2,36.3,1.7,1,1.6,1.4
21,0400000US34,34.7,32.2,1.9,1.8,1.9,1.8
22,0400000US39,37.6,32.4,1.7,1.4,1.7,1.5
23,0400000US38,35.1,31.1,1.3,0.8,1.5,1.4
24,0400000US23,28.4,23.9,1.4,1,1.5,1.1
25,0400000US54,23.4,16.3,1,0.6,1.1,0.8
26,0400000US02,20.8,19.6,0.5,0.5,1,1
27,0400000US72,0.3,0.3,0.1,0.1,0.1,0.1
28,0400000US16,38,35.7,1,0.8,1.3,1.2
29,0400000US55,42.7,39.6,1.8,1.6,1.9,1.7
30,0400000US40,31.1,24.7,1.4,0.7,1.4,1
31,0400000US42,36,31.8,1.5,1.3,1.7,1.5
32,0400000US47,35.2,27.8,1.8,0.9,1.7,1.2
33,0400000US26,40.2,34.2,1.6,1.1,1.7,1.4
34,0400000US56,26.6,24.2,0.9,0.7,1,0.9
35,0400000US50,28.1,25,1.4,1.1,1.5,1.3
36,0400000US21,35.4,27.7,1.8,1,1.7,1.2
37,0400000US32,34.5,31.5,1,0.8,1.3,1.2
38,0400000US46,36,32.3,1.1,0.8,1.5,1.3
39,0400000US15,28.9,26.2,0.8,0.7,1.1,0.9
40,0400000US41,36.9,34.3,1.4,1.1,1.7,1.6
41,0400000US45,31.6,25.2,1.7,0.9,1.6,1.1
42,0400000US49,38.6,38.2,0.9,0.8,1.4,1.4
43,0400000US19,40.8,36.1,1.7,1.2,1.6,1.4
44,0400000US44,33.9,30.4,1.6,1.5,1.5,1.3
45,0400000US27,42,39,1.7,1.5,2,1.9
46,0400000US28,36.1,22.3,1.7,0.6,1.7,0.8
47,0400000US51,38.7,34,1.7,1.1,1.8,1.5
48,0400000US53,38,36.4,1.3,1.1,1.7,1.6
49,0400000US48,29.7,26,1.1,0.6,1.4,1.1
50,0400000US18,38.5,32.8,1.8,1.4,1.8,1.5
51,0400000US06,34.1,31.7,1.4,1.2,1.6,1.4
52,0400000US36,29.6,26.4,1.4,1.2,1.5,1.3
