,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,16.7,12.6,2.5,1.6,2.7,1.9,0500000US04003
2,10.6,10.6,1.3,1.3,1.3,1.3,0500000US04005
3,13.5,6.7,1.7,0.5,2,0.6,0500000US04007
4,14.9,13.1,2.1,1.5,2.1,1.5,0500000US04009
5,7.6,4.4,1.9,0.7,2,0.7,0500000US04011
6,2.4,0.7,0.3,0,0.4,0.1,0500000US04012
7,21.2,19,2.3,2,2.3,2,0500000US04013
8,21.4,16.4,2,1.2,2.1,1.2,0500000US04015
9,6.5,4.9,0.7,0.5,0.8,0.6,0500000US04017
10,21.2,18.7,2.7,2.2,2.7,2.2,0500000US04019
11,18.3,15.5,2.2,1.6,2.3,1.7,0500000US04021
12,7.4,5.7,1.3,0.7,1.2,0.7,0500000US04023
13,21.7,18.1,2.8,2.2,2.9,2.2,0500000US04025
14,14,8.4,1.8,0.8,1.9,0.8,0500000US04027
15,0.7,0.4,0.1,0,0.1,0,0500000US04001
1,19.3,17,2.9,2.3,2.9,2.4,0500000US09003
2,18.2,17.3,2.5,2.3,2.5,2.4,0500000US09005
3,17.5,16.6,2.2,2,2.2,2.1,0500000US09015
4,18.8,16,2.7,2.1,2.8,2.1,0500000US09009
5,20.1,18.3,2.9,2.6,2.9,2.6,0500000US09011
6,18.4,18.1,3.2,3.2,3.3,3.2,0500000US09013
7,18.9,17.7,2.4,2.1,2.4,2.1,0500000US09001
8,19.2,17.8,3,2.8,3.1,2.8,0500000US09007
1,19.1,10.5,3,1.3,2.9,1.3,0500000US05001
2,22.9,7.1,3.2,0.8,3.3,0.9,0500000US05003
3,28.8,11.5,3.4,0.9,3.3,0.9,0500000US05005
4,20.3,18.9,2.4,2.1,2.4,2.2,0500000US05007
5,20.9,15.1,2.2,1.3,2.2,1.3,0500000US05009
6,17.8,5.3,3.7,0.7,3.4,0.7,0500000US05011
7,11.2,3.5,1.6,0.4,1.5,0.3,0500000US05013
8,22.3,8.2,2.9,0.8,3,0.7,0500000US05015
9,16.6,4.7,3.6,1,3.4,0.9,0500000US05017
10,21.4,10.6,2.7,1.1,2.8,1.1,0500000US05019
11,26.2,6.9,4.8,0.4,4.8,0.4,0500000US05021
12,22.3,6.6,4,0.4,3.9,0.4,0500000US05023
13,23.8,7.1,3.4,0.7,3.4,0.7,0500000US05025
14,19.9,9.9,2.7,0.9,2.7,0.9,0500000US05027
15,23,12.1,3.2,1.3,3.4,1.2,0500000US05029
16,20.4,14.3,3.2,2,3.2,1.9,0500000US05031
17,19.7,11.6,2.5,1,2.5,1.1,0500000US05033
18,21.2,11.1,3.7,1.3,3.8,1.4,0500000US05035
19,20.3,9.1,3.7,0.9,4,1.1,0500000US05037
20,18.7,6.1,3.3,0.9,3.4,1,0500000US05041
21,24,8.2,3.2,0.7,3.2,0.7,0500000US05043
22,23.6,19.2,2.6,1.8,2.7,1.8,0500000US05045
23,26.9,6.9,3.8,0.4,3.8,0.4,0500000US05047
24,18.2,4.7,3.2,0.2,3.2,0.2,0500000US05049
25,22.4,12.4,3.2,1.2,3.1,1.3,0500000US05051
26,19.9,11.4,2.5,1.2,2.8,1.1,0500000US05053
27,21.6,13.4,3.6,1.8,3.6,1.9,0500000US05055
28,20.5,6.8,3.9,0.6,3.9,0.6,0500000US05057
29,24.9,9.8,3.8,0.8,3.7,0.9,0500000US05059
30,20.5,5.3,3.3,0.3,3.3,0.3,0500000US05061
31,21.5,12.8,3.5,1.7,3.5,1.7,0500000US05063
32,9.1,2.5,1.4,0.2,1.5,0.2,0500000US05065
33,17.1,5.1,2.6,0.4,2.9,0.4,0500000US05067
34,21.2,10.5,4,1.9,4.2,2,0500000US05069
35,16.2,7.2,2.5,0.7,2.6,0.6,0500000US05071
36,14.7,3.3,2.5,0.3,2.5,0.3,0500000US05073
37,18.7,10,2.9,0.8,2.9,0.9,0500000US05075
38,18.4,4.8,3,0.4,3.1,0.6,0500000US05077
39,18.8,5.4,2.8,0.5,3,0.5,0500000US05079
40,21,5.7,3.5,0.4,3.5,0.4,0500000US05081
41,23.2,5.9,3.9,0.4,4,0.4,0500000US05083
42,21,17.4,2.5,1.7,2.5,1.8,0500000US05085
43,18.3,4.6,2.7,0.2,2.7,0.2,0500000US05087
44,13.6,6.8,1.7,0.6,1.8,0.6,0500000US05089
45,18.1,10.5,3.1,0.9,3,0.9,0500000US05091
46,19.1,9.5,3.5,0.9,3.6,1,0500000US05093
47,16.8,4.3,3.2,0.7,3.2,0.7,0500000US05095
48,16.8,4.4,3.2,0.2,3,0.2,0500000US05097
49,22.4,6.1,4.7,0.3,4.6,0.3,0500000US05099
50,0.8,0.2,0.2,0,0.2,0,0500000US05101
51,23.6,8.2,3.9,1,4,1.1,0500000US05103
52,24.4,7,3.9,0.5,4.2,0.5,0500000US05105
53,16.8,6.6,3.2,1.2,3.5,1.4,0500000US05107
54,19.3,4.9,3,0.3,3,0.3,0500000US05109
55,22.3,8.8,4.5,1,4.4,1.1,0500000US05111
56,20,8.7,2.6,0.5,2.6,0.5,0500000US05113
57,17.8,15.3,2.5,2,2.4,1.9,0500000US05115
58,12.9,3.7,2.5,0.4,2.6,0.4,0500000US05117
59,17.7,5.2,2.7,0.7,2.9,0.9,0500000US05039
60,21.2,17.9,2.6,1.8,2.6,1.9,0500000US05119
61,22.5,8.9,4.3,0.9,4.4,0.9,0500000US05121
62,14.7,5.9,2.7,0.7,2.7,0.7,0500000US05123
63,19.9,16.5,2.7,2.1,2.8,2.1,0500000US05125
64,18.1,4.6,2.8,0.3,2.8,0.3,0500000US05127
65,15.5,3.1,2.6,0.3,2.5,0.3,0500000US05129
66,21.1,14.6,2.5,1.5,2.5,1.5,0500000US05131
67,20.1,7,3.6,0.6,3.4,0.6,0500000US05133
68,21.5,6.2,4.4,0.6,4.4,0.6,0500000US05135
69,21.2,5.7,3.6,0.5,3.4,0.4,0500000US05137
70,22.3,9.4,3.6,1,3.5,1.1,0500000US05139
71,20.1,5.2,3.2,0.3,3.2,0.4,0500000US05141
72,19.5,18,1.8,1.6,1.9,1.7,0500000US05143
