,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,33.4,27,1.9,1.6,1.9,1.7,0500000US04003
2,21.3,21.2,1.2,1.2,1.2,1.2,0500000US04005
3,22.3,12.5,1,0.6,1.1,0.7,0500000US04007
4,29.5,26.6,1.4,1.3,1.5,1.4,0500000US04009
5,16.2,11.7,1,0.8,1,0.8,0500000US04011
6,5.3,3,0.6,0.5,0.6,0.4,0500000US04012
7,39.6,36.5,1.9,1.8,1.9,1.8,0500000US04013
8,35.8,29.1,1.5,1.3,1.6,1.3,0500000US04015
9,12.3,9.9,0.6,0.5,0.6,0.5,0500000US04017
10,39,35.2,2.2,2.1,2.2,2,0500000US04019
11,33.7,29.7,1.6,1.5,1.6,1.5,0500000US04021
12,22.4,19.5,2.1,1.9,2,1.8,0500000US04023
13,39.2,34.2,1.6,1.4,1.6,1.4,0500000US04025
14,24.8,17,1.1,0.8,1.1,0.9,0500000US04027
15,1.6,1.2,0.1,0.1,0.2,0.1,0500000US04001
1,41.6,37.9,2.9,2.6,2.9,2.7,0500000US09003
2,37.9,36.4,1.9,1.8,1.9,1.9,0500000US09005
3,37,35.5,2.1,2,2.1,2.1,0500000US09015
4,38.7,34.3,2.2,1.9,2.2,1.9,0500000US09009
5,41.7,38.9,2.6,2.5,2.7,2.5,0500000US09011
6,44.5,44,3.8,3.7,3.8,3.7,0500000US09013
7,39.7,37.8,2.6,2.5,2.6,2.5,0500000US09001
8,41.4,39.3,2.5,2.4,2.5,2.4,0500000US09007
1,32.7,20.2,1.7,0.8,1.7,1,0500000US05001
2,36.2,13.9,1.8,0.6,1.9,0.7,0500000US05003
3,44.7,21.8,2,1.2,2,1.2,0500000US05005
4,41.6,39.4,2.4,2.3,2.4,2.3,0500000US05007
5,38.3,29.9,2.2,1.9,2.2,1.8,0500000US05009
6,29.4,11.3,1.5,0.6,1.5,0.6,0500000US05011
7,18.7,8.2,1,0.7,1,0.7,0500000US05013
8,37.7,17.4,2.2,1.2,2.1,1.2,0500000US05015
9,29.4,10.9,1.7,0.7,1.6,0.7,0500000US05017
10,35.6,20.9,1.8,1.2,1.8,1.2,0500000US05019
11,40.2,13.3,1.6,0.7,1.7,0.7,0500000US05021
12,34.9,12.2,2,0.7,1.9,0.6,0500000US05023
13,36.5,13.1,1.9,0.9,1.9,0.9,0500000US05025
14,33.9,19.1,1.9,1,2,1,0500000US05027
15,37.7,22.8,2.1,1.6,2.1,1.5,0500000US05029
16,38.8,29.9,2.1,1.7,2,1.6,0500000US05031
17,36.5,25,1.8,1.3,1.8,1.3,0500000US05033
18,38.3,23.1,1.9,1.1,2,1.2,0500000US05035
19,36,19.1,1.8,0.9,1.8,1,0500000US05037
20,31.5,12.7,1.8,0.5,1.8,0.6,0500000US05041
21,37.7,15.8,2,0.9,2,1,0500000US05043
22,42.7,36.5,2.3,2,2.3,2,0500000US05045
23,42.4,14.5,2.1,0.8,2.1,0.8,0500000US05047
24,30.7,10.7,1.8,0.9,1.8,0.9,0500000US05049
25,38.3,24.2,2.2,1.3,2.1,1.4,0500000US05051
26,35.7,23.9,1.6,1.1,1.7,1.1,0500000US05053
27,41.4,29.7,2.5,1.9,2.6,2.1,0500000US05055
28,34,13.9,1.8,0.9,1.8,1,0500000US05057
29,40,19.1,2,1,2,1.1,0500000US05059
30,32.9,12,1.9,0.8,1.9,0.8,0500000US05061
31,38.8,26.1,2.1,1.5,2.1,1.5,0500000US05063
32,16.1,7,1.7,1.3,1.7,1.3,0500000US05065
33,28.5,11.4,1.7,1.2,1.7,1.1,0500000US05067
34,37.4,21.2,1.8,1,1.8,1,0500000US05069
35,28.4,15.4,1.4,0.9,1.4,0.8,0500000US05071
36,25.3,9,1.5,0.6,1.5,0.6,0500000US05073
37,34.2,20.8,1.9,1.3,1.8,1.3,0500000US05075
38,29.1,9.9,1.2,0.6,1.3,0.5,0500000US05077
39,30.4,11.8,1.5,0.6,1.6,0.7,0500000US05079
40,33.1,11.8,2,0.9,2.1,0.9,0500000US05081
41,36.9,12,2,0.7,2,0.7,0500000US05083
42,40.7,35.6,2.3,2,2.4,2.2,0500000US05085
43,29.7,9.9,1.5,0.6,1.5,0.6,0500000US05087
44,23.5,14.4,1.3,0.9,1.3,0.9,0500000US05089
45,33.8,22,1.9,1.3,2,1.3,0500000US05091
46,32.5,17.7,1.7,0.8,1.7,0.9,0500000US05093
47,26.3,9.9,1.1,0.5,1.1,0.5,0500000US05095
48,26.1,8.4,1.9,0.8,2,0.9,0500000US05097
49,35.7,13,2.1,1.1,2,1,0500000US05099
50,4.5,3.7,0.7,0.7,0.7,0.7,0500000US05101
51,39.3,16.4,2,0.9,2,0.9,0500000US05103
52,37.2,13.1,2.1,0.7,2,0.7,0500000US05105
53,29,13.4,1.4,0.7,1.5,0.8,0500000US05107
54,30,10.1,1.6,0.5,1.7,0.5,0500000US05109
55,37.7,18,2.1,1.1,2.2,1.2,0500000US05111
56,33,17,2.3,1.4,2.3,1.4,0500000US05113
57,36.8,32.9,2,1.9,2,1.9,0500000US05115
58,23.1,10.1,1.3,0.8,1.3,0.8,0500000US05117
59,29.3,12,1.8,1,1.8,1,0500000US05039
60,39,33.8,2.2,1.9,2.2,1.9,0500000US05119
61,39.9,19.8,2.5,1.4,2.5,1.5,0500000US05121
62,27.1,12.9,1.7,0.9,1.7,0.9,0500000US05123
63,39.5,34.6,2.4,2.1,2.4,2.1,0500000US05125
64,29,9.8,1.6,0.6,1.6,0.6,0500000US05127
65,25.1,7.8,1.5,0.7,1.4,0.7,0500000US05129
66,40.1,30.9,2.3,1.9,2.4,2,0500000US05131
67,34,14.9,2.4,1.2,2.5,1.3,0500000US05133
68,35.5,13.1,2.1,0.9,2.1,0.9,0500000US05135
69,32.9,10.8,1.8,0.6,1.8,0.7,0500000US05137
70,37.5,18.5,2,0.8,1.9,0.8,0500000US05139
71,31.1,10.2,1.9,0.7,1.9,0.8,0500000US05141
72,38.2,36.1,2.1,2,2.1,2,0500000US05143
73,36.3,26.8,1.9,1.4,1.9,1.4,0500000US05145
74,20.2,7.4,1.2,0.7,1.1,0.6,0500000US05147
75,28.9,11.1,2,1,2,1,0500000US05149
1,40.4,38.4,2.8,2.7,2.8,2.7,0500000US08001
2,32.1,26.6,1.9,1.7,1.9,1.6,0500000US08003
3,45.3,43.9,2.7,2.6,2.7,2.7,0500000US08005
4,18,17.9,1.4,1.4,1.4,1.4,0500000US08007
5,25.6,8.9,1.5,0.7,1.5,0.7,0500000US08009
6,39.2,12.8,2,0.7,1.8,0.7,0500000US08011
7,47,46.8,2.4,2.4,2.4,2.4,0500000US08013
8,47,46.8,2.5,2.5,2.4,2.4,0500000US08014
9,31.7,30.1,1.7,1.6,1.7,1.6,0500000US08015
10,8.9,3.4,0.6,0.5,0.6,0.5,0500000US08017
11,22.6,22.5,1.6,1.6,1.6,1.6,0500000US08019
12,11.8,4.6,1,0.7,1,0.7,0500000US08021
13,4.1,2.4,0.8,0.8,0.8,0.8,0500000US08023
14,32.8,9.4,1.6,0.5,1.7,0.6,0500000US08025
15,14.8,14.7,1.3,1.3,1.3,1.3,0500000US08027
16,40.3,20.3,2.3,1.2,2.3,1.2,0500000US08029
17,40,38.2,2.5,2.4,2.5,2.4,0500000US08031
18,8,5.4,1.5,1.5,1.5,1.5,0500000US08033
19,48.9,48.8,2.7,2.7,2.7,2.6,0500000US08035
20,9.8,9.8,0.8,0.8,0.8,0.8,0500000US08037
21,43.6,41.5,3,2.8,2.9,2.8,0500000US08039
22,44.5,43.6,2.2,2.2,2.2,2.2,0500000US08041
23,41.9,26.5,1.6,1.2,1.6,1.2,0500000US08043
24,37.1,36.7,2,2,2,2,0500000US08045
25,22.8,22.8,1.8,1.8,1.7,1.7,0500000US08047
26,2.3,2.3,0.7,0.7,0.6,0.6,0500000US08049
27,16.8,16.7,1.1,1.1,0.9,0.9,0500000US08051
28,2.6,2.6,0,0,0,0,0500000US08053
29,18.2,9.7,1.1,0.7,1.1,0.7,0500000US08055
30,3.2,1.9,0.2,0.2,0.2,0.2,0500000US08057
