,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,24,23.8,1,1,1,1,0500000US04005
2,37.4,30.6,1.4,1.2,1.5,1.3,0500000US04003
3,23.9,13.7,0.6,0.4,0.7,0.5,0500000US04007
4,32.4,29.3,0.9,0.8,0.9,0.9,0500000US04009
5,18,13.3,0.8,0.6,0.8,0.6,0500000US04011
6,6.4,4,0.5,0.4,0.5,0.5,0500000US04012
7,43.6,40.5,1.5,1.5,1.5,1.4,0500000US04013
8,38.9,31.8,1.3,1.1,1.3,1.1,0500000US04015
9,13.5,11,0.4,0.4,0.5,0.4,0500000US04017
10,43.6,39.4,1.7,1.6,1.7,1.5,0500000US04019
11,36.9,32.6,1.1,1,1.1,1,0500000US04021
12,27,23.8,1.8,1.6,1.7,1.5,0500000US04023
13,41.9,36.7,1.1,1,1.1,1,0500000US04025
14,27.4,19.3,1.1,0.9,1.1,0.9,0500000US04027
15,2,1.5,0.1,0.1,0.1,0.1,0500000US04001
1,46.2,42.1,1.5,1.4,1.5,1.4,0500000US09003
2,42.1,40.5,1.7,1.7,1.8,1.8,0500000US09005
3,40.7,39.1,1.6,1.5,1.6,1.5,0500000US09015
4,42.9,38.2,1.5,1.5,1.6,1.5,0500000US09009
5,45.7,42.8,1.6,1.5,1.6,1.5,0500000US09011
6,49.7,49.2,1.7,1.7,1.7,1.7,0500000US09013
7,44.2,42.1,1.5,1.5,1.5,1.5,0500000US09001
8,46.2,43.9,1.8,1.8,1.8,1.8,0500000US09007
1,35.4,22.3,1.1,0.9,1.1,0.9,0500000US05001
2,38.4,15.2,0.7,0.4,0.7,0.4,0500000US05003
3,47.9,24,1,0.7,1.1,0.7,0500000US05005
4,46.6,44.2,1.6,1.5,1.6,1.5,0500000US05007
5,42.1,33.4,1.3,1.2,1.3,1.2,0500000US05009
6,32.3,13.1,0.7,0.4,0.8,0.5,0500000US05011
7,20.5,9.3,0.7,0.4,0.7,0.4,0500000US05013
8,40.9,19.5,0.8,0.6,0.8,0.6,0500000US05015
9,31.7,12,0.6,0.3,0.6,0.4,0500000US05017
10,38.5,22.9,0.8,0.5,0.9,0.5,0500000US05019
11,42.7,14.5,1.1,0.4,1.1,0.4,0500000US05021
12,37.6,13.5,0.8,0.4,0.8,0.4,0500000US05023
13,39.2,14.6,1.1,0.4,1,0.4,0500000US05025
14,36.8,21,1,0.5,1,0.5,0500000US05027
15,41.2,25.5,1.2,1,1.1,0.9,0500000US05029
16,42.8,33.5,1.7,1.4,1.6,1.4,0500000US05031
17,39.9,27.9,1.2,0.9,1.2,0.9,0500000US05033
18,41.3,25.2,1,0.7,1,0.7,0500000US05035
19,39,21.2,1,0.7,1.1,0.8,0500000US05037
20,44.9,15.7,0.9,0.3,0.9,0.3,0500000US05047
21,33.5,13.8,0.7,0.4,0.7,0.4,0500000US05041
22,40.7,17.5,1.1,0.5,1.1,0.5,0500000US05043
23,47,40.4,1.5,1.4,1.5,1.4,0500000US05045
24,33.5,12.2,1,0.4,0.9,0.4,0500000US05049
25,41.2,26.4,1,0.7,1,0.8,0500000US05051
26,38.5,26.1,1.3,1.1,1.3,1,0500000US05053
27,45.3,32.9,1.7,1.3,1.8,1.4,0500000US05055
28,37.3,15.6,1.3,0.5,1.3,0.5,0500000US05057
29,43.3,20.9,0.8,0.5,0.9,0.6,0500000US05059
30,35.3,13,1.1,0.4,1.2,0.5,0500000US05061
31,42.4,29,1.4,1.1,1.4,1.1,0500000US05063
32,17.9,8.2,0.7,0.5,0.7,0.4,0500000US05065
33,31.1,13.1,0.8,0.6,0.7,0.5,0500000US05067
34,40.3,23.2,0.9,0.5,1,0.7,0500000US05069
35,30.5,16.8,0.9,0.6,0.9,0.5,0500000US05071
36,27.6,10.1,0.9,0.4,1,0.4,0500000US05073
37,37.1,22.7,1.2,0.6,1.3,0.7,0500000US05075
38,31.2,11.1,0.6,0.3,0.7,0.3,0500000US05077
39,32.4,12.6,0.6,0.3,0.6,0.3,0500000US05079
40,36.1,13.1,1.5,0.6,1.4,0.6,0500000US05081
41,39.3,13.3,1.1,0.4,1.1,0.4,0500000US05083
42,44.8,39.5,1.8,1.7,1.8,1.7,0500000US05085
43,31.7,10.9,0.5,0.3,0.4,0.3,0500000US05087
44,25.6,15.9,0.6,0.5,0.6,0.5,0500000US05089
45,36.5,24.1,1.1,0.7,1.1,0.7,0500000US05091
46,35.1,19.4,0.9,0.5,0.9,0.5,0500000US05093
47,28.7,11,0.9,0.4,1,0.4,0500000US05095
48,27.9,9.1,1,0.3,0.9,0.3,0500000US05097
49,38.1,14,1.1,0.4,1.2,0.4,0500000US05099
50,5.7,4.9,0.6,0.6,0.6,0.6,0500000US05101
51,42,17.7,0.8,0.3,0.7,0.3,0500000US05103
52,39.8,14.5,0.8,0.4,0.8,0.4,0500000US05105
53,31,14.5,0.8,0.4,0.9,0.4,0500000US05107
54,32.7,11.2,1,0.3,1.1,0.4,0500000US05109
55,40.2,19.5,0.8,0.4,0.9,0.5,0500000US05111
56,35.7,18.7,1.1,0.5,1.1,0.5,0500000US05113
57,40.8,36.6,1.7,1.6,1.7,1.6,0500000US05115
58,25.7,12,1.1,0.7,1.1,0.7,0500000US05117
59,31.6,13.2,0.7,0.3,0.7,0.4,0500000US05039
60,43,37.4,1.2,1.2,1.3,1.2,0500000US05119
61,43.2,21.7,1.4,0.8,1.4,0.8,0500000US05121
62,29.4,14.3,0.7,0.3,0.7,0.3,0500000US05123
63,43.7,38.5,1.5,1.5,1.5,1.4,0500000US05125
64,31,10.6,0.8,0.2,0.8,0.2,0500000US05127
65,27,8.9,0.7,0.4,0.7,0.4,0500000US05129
66,44.2,34.4,1.4,1.2,1.4,1.2,0500000US05131
67,37.1,16.7,1.4,0.7,1.4,0.7,0500000US05133
68,38.1,14.2,1,0.4,1,0.4,0500000US05135
69,35.5,12.1,0.8,0.4,0.8,0.4,0500000US05137
70,40,20,1,0.5,1,0.6,0500000US05139
71,33.6,11.4,0.9,0.4,0.9,0.4,0500000US05141
72,43,40.7,1.6,1.6,1.6,1.6,0500000US05143
73,39.9,29.9,1.6,1.4,1.7,1.5,0500000US05145
74,22.4,8.7,0.9,0.5,0.9,0.5,0500000US05147
75,31.5,12.4,1,0.4,0.9,0.4,0500000US05149
1,46.7,44.3,2,1.9,2,1.9,0500000US08001
2,35.8,30,1.3,1.2,1.2,1,0500000US08003
3,51.7,50.2,2,2,2,2,0500000US08005
4,21,20.9,1.2,1.2,1.1,1.1,0500000US08007
5,29.3,11.5,2,1.4,2,1.4,0500000US08009
6,42.4,14.5,1.1,0.7,1.4,0.7,0500000US08011
7,53.4,53.1,2.1,2.1,2,2,0500000US08013
8,54,53.7,2.2,2.2,2.3,2.3,0500000US08014
9,35.9,34.2,1.4,1.3,1.4,1.3,0500000US08015
10,11.8,6,1.2,1.1,1.2,1.1,0500000US08017
11,26.4,26.2,1,1,1,1,0500000US08019
12,14.8,7.2,1.1,1,1.1,1,0500000US08021
13,6.3,4.4,0.8,0.8,0.8,0.8,0500000US08023
14,36,11.7,1.5,1,1.4,1,0500000US08025
15,17.9,17.7,1,1,1,1,0500000US08027
16,44.5,22.9,1.6,1,1.6,1,0500000US08029
17,45.8,43.8,1.8,1.7,1.7,1.7,0500000US08031
18,10.6,8,0.6,0.6,0.6,0.6,0500000US08033
19,56.2,56,2.6,2.5,2.5,2.5,0500000US08035
20,13.2,13.2,1.3,1.3,1.2,1.2,0500000US08037
21,49.7,47.5,1.7,1.6,1.9,1.8,0500000US08039
22,50.1,49,1.9,1.9,1.9,1.9,0500000US08041
23,45.9,29.8,1.7,1.3,1.6,1.2,0500000US08043
24,42.1,41.7,1.9,1.9,1.9,1.9,0500000US08045
25,26.9,26.9,1.2,1.2,1.2,1.2,0500000US08047
26,4.8,4.8,0.9,0.9,0.9,0.9,0500000US08049
27,20.1,20,1.2,1.2,1.1,1.1,0500000US08051
28,3.9,3.9,0.8,0.8,0.8,0.8,0500000US08053
29,20.9,12,1,0.7,1,0.7,0500000US08055
30,4.6,3.2,0.5,0.5,0.5,0.5,0500000US08057
31,56.5,55.8,2.5,2.5,2.5,2.5,0500000US08059
32,26.4,12.8,0.9,0.7,0.9,0.7,0500000US08061
33,33.3,28.2,1.3,1.1,1.3,1.1,0500000US08063
34,27.9,27.6,1.2,1.2,1.1,1.1,0500000US08065
35,34.6,34.4,1.8,1.8,1.8,1.8,0500000US08067
36,47.7,47.3,1.9,1.9,1.9,1.9,0500000US08069
37,32.7,15,1.5,0.7,1.4,0.7,0500000US08071
38,21.4,12.1,1.1,0.8,1.1,0.8,0500000US08073
39,46.1,33.8,1.3,1,1.4,1,0500000US08075
40,48.1,46.1,1.8,1.8,1.9,1.8,0500000US08077
41,10.5,10.2,1.4,1.3,1.4,1.3,0500000US08079
42,34.2,32.5,1.5,1.4,1.5,1.4,0500000US08081
43,37.9,37.4,1,1,1.1,1.1,0500000US08083
44,44.8,35.4,1.7,1.4,1.7,1.4,0500000US08085
45,18.1,18.1,1,1,0.8,0.8,0500000US08093
46,41.1,36.9,1.4,1.2,1.3,1.2,0500000US08087
47,40.5,26.8,1.3,1,1.3,1,0500000US08089
48,24.8,24.5,1,0.9,1.1,1,0500000US08091
49,48.2,35.8,1,0.8,1,0.9,0500000US08095
50,19.7,19.6,1.2,1.2,1.1,1.1,0500000US08097
51,31.7,22.4,1,0.7,1,0.7,0500000US08099
52,44.3,32.7,1.6,1.3,1.6,1.3,0500000US08101
53,23.3,23.1,1.4,1.4,1.4,1.4,0500000US08103
54,32.6,18.5,0.9,0.6,0.9,0.7,0500000US08105
55,16.9,16.9,1,1,0.9,0.9,0500000US08107
56,10.6,6.2,0.8,0.6,0.8,0.7,0500000US08109
57,3.9,3.9,0.3,0.3,0.3,0.3,0500000US08111
58,13.4,13.1,1.5,1.5,1.3,1.3,0500000US08113
59,40.2,14.9,1.5,0.7,1.5,0.7,0500000US08115
60,10.9,10.9,0.6,0.6,0.6,0.6,0500000US08117
61,33.3,33.1,1.3,1.3,1.2,1.2,0500000US08119
62,43.4,15.7,1.3,0.8,1.3,0.8,0500000US08121
63,44.3,42.1,1.8,1.7,1.7,1.7,0500000US08123
64,49.6,18.6,1,0.6,1,0.6,0500000US08125
1,45.5,43.5,1.6,1.5,1.6,1.5,0500000US10003
2,35.9,30,1.2,1.1,1.2,1.1,0500000US10005
3,44.3,39.1,1.4,1.3,1.4,1.3,0500000US10001
1,51.1,43.4,1.7,1.5,1.7,1.6,0500000US01001
2,37.2,31.2,1.6,1.4,1.5,1.4,0500000US01003
3,39,21.2,1,0.7,1.2,0.7,0500000US01005
4,40.7,17.4,1,0.5,1,0.5,0500000US01007
5,44,29,1.5,1.2,1.6,1.3,0500000US01009
6,36.7,15.8,0.9,0.5,0.9,0.4,0500000US01011
7,42,19,1.2,0.6,1.2,0.6,0500000US01013
8,44.2,32.3,1.4,1.1,1.4,1.1,0500000US01015
9,41.5,21.7,0.9,0.6,0.9,0.6,0500000US01017
10,30.3,11.6,0.8,0.4,0.7,0.4,0500000US01019
11,42.9,24.2,1.1,0.8,1.1,0.8,0500000US01021
12,39.4,13.2,1.1,0.5,1.1,0.6,0500000US01023
13,39.4,16.1,1.1,0.4,1,0.4,0500000US01025
14,42,14.6,0.9,0.4,1,0.4,0500000US01027
15,40,14.9,1.2,0.4,1.2,0.3,0500000US01029
16,41.6,31.4,1.6,1.3,1.7,1.4,0500000US01031
17,45.6,31,1.4,1,1.5,1.1,0500000US01033
18,34.8,11.7,0.7,0.1,0.7,0.1,0500000US01035
19,20.3,9,0.6,0.3,0.6,0.3,0500000US01037
20,40.6,16.8,1,0.5,0.9,0.5,0500000US01039
21,39.1,14.3,0.7,0.4,0.7,0.4,0500000US01041
22,42.3,26.7,1.3,1,1.3,1,0500000US01043
23,39.4,26,1.4,1.1,1.4,1.2,0500000US01045
24,41.6,18.7,0.9,0.5,0.9,0.4,0500000US01047
25,35.9,14.5,1.1,0.5,1,0.5,0500000US01049
26,46.5,42.8,1.8,1.8,1.9,1.8,0500000US01051
27,40.9,22.5,1.4,0.9,1.3,0.9,0500000US01053
28,45.7,30.8,1.3,0.9,1.4,1,0500000US01055
29,44.5,13.7,0.9,0.4,0.9,0.4,0500000US01057
30,42.2,14.5,1.2,0.4,1.1,0.4,0500000US01059
31,41.7,14.7,1.2,0.4,1.2,0.4,0500000US01061
32,29,11.8,0.7,0.3,0.7,0.3,0500000US01063
33,38.6,16.5,0.8,0.5,0.9,0.5,0500000US01065
34,36.4,23,1.1,0.8,1.2,0.9,0500000US01067
35,42.7,31.8,1.3,1,1.4,1.1,0500000US01069
36,41.3,24.8,1.3,1,1.4,1,0500000US01071
37,44.8,36.3,1.3,1.1,1.3,1.2,0500000US01073
38,42.4,14.6,0.8,0.4,0.9,0.4,0500000US01075
39,47.2,29.7,1.4,1,1.4,1.1,0500000US01077
40,49,18.6,1.3,0.4,1.3,0.4,0500000US01079
41,40.5,38,1.7,1.6,1.8,1.7,0500000US01081
42,40.6,36.7,1.4,1.3,1.5,1.4,0500000US01083
43,35.3,15.2,0.9,0.7,0.9,0.7,0500000US01085
44,35,14.5,0.6,0.4,0.6,0.5,0500000US01087
45,52.1,48.8,1.7,1.6,1.8,1.7,0500000US01089
46,35,14.2,0.7,0.4,0.7,0.4,0500000US01091
47,43.3,15.3,1.1,0.5,1.1,0.5,0500000US01093
48,42.5,33,1.4,1.2,1.4,1.2,0500000US01095
49,41.8,32.8,1.2,1,1.3,1.1,0500000US01097
50,36.3,15.4,0.9,0.4,0.9,0.4,0500000US01099
51,44.8,34.3,1.4,1.1,1.3,1.1,0500000US01101
52,48.6,37.4,1.3,1.1,1.3,1.1,0500000US01103
53,23.3,12.2,0.7,0.4,0.7,0.4,0500000US01105
54,42.2,16.2,1.1,0.5,1.1,0.5,0500000US01107
55,34,19,1.1,0.7,1.1,0.7,0500000US01109
56,36.3,17,1,0.5,1,0.5,0500000US01111
57,40.9,26.1,1.4,1,1.4,1,0500000US01113
58,47.2,38.9,1.6,1.4,1.5,1.4,0500000US01115
59,52.7,51.6,1.8,1.8,1.9,1.9,0500000US01117
60,24.5,11.4,0.8,0.5,0.8,0.4,0500000US01119
61,37.3,19.1,0.9,0.5,0.9,0.6,0500000US01121
62,38.2,25.8,1.2,0.9,1.2,0.9,0500000US01123
63,40.4,35.4,1.3,1.2,1.4,1.3,0500000US01125
64,26.8,11.9,0.5,0.3,0.5,0.3,0500000US01131
65,35.1,16.4,0.8,0.5,0.8,0.5,0500000US01133
66,40.2,19.1,1,0.5,1,0.5,0500000US01127
67,28.4,12.5,0.9,0.5,0.8,0.4,0500000US01129
1,31.2,12.1,0.6,0.3,0.6,0.3,0500000US13001
2,19.8,9,0.7,0.4,0.6,0.4,0500000US13003
3,34.3,18.1,1.1,0.7,1,0.6,0500000US13005
4,23.3,10,0.9,0.6,0.9,0.6,0500000US13007
5,30.2,24.3,1,0.9,1,0.9,0500000US13009
6,42.2,23.8,1.3,1,1.3,1,0500000US13011
7,44.7,44.4,2.2,2.2,2.2,2.2,0500000US13013
8,40.8,39.3,1.9,1.8,1.9,1.9,0500000US13015
9,33.5,16.2,0.7,0.4,0.7,0.4,0500000US13017
10,34.9,17.8,0.7,0.5,0.8,0.4,0500000US13019
11,32.9,27.8,1.4,1.2,1.4,1.2,0500000US13031
12,30.4,14.4,0.6,0.5,0.7,0.5,0500000US13025
13,33.2,13.4,0.7,0.3,0.6,0.3,0500000US13027
14,40.4,37.5,2.1,2.1,2.1,2,0500000US13029
15,32,13.9,0.7,0.4,0.7,0.4,0500000US13033
16,36.6,35.9,1.6,1.5,1.5,1.4,0500000US13035
17,17.5,8.7,0.6,0.4,0.6,0.4,0500000US13037
18,40.8,38.7,2.1,2.1,2,2,0500000US13039
19,36.3,16.7,1.1,0.7,1.2,0.7,0500000US13043
20,42.4,37.6,1.4,1.3,1.4,1.3,0500000US13045
21,43.4,39.8,1.6,1.5,1.6,1.6,0500000US13047
22,32.8,13.6,0.8,0.4,0.8,0.4,0500000US13049
23,25.5,20.1,1,0.9,0.9,0.7,0500000US13053
24,36.6,17.6,0.9,0.5,0.8,0.5,0500000US13055
25,43.2,42.9,1.8,1.8,1.8,1.7,0500000US13057
26,38.5,36.8,1.1,1,1.1,1.1,0500000US13059
27,21.9,8.5,0.7,0.3,0.5,0.3,0500000US13061
28,28.9,13.2,0.5,0.2,0.6,0.3,0500000US13065
