,GEO_ID,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT
1,0400000US04,32.1,28.8,0.9,0.8,1.2,1.1
2,0400000US09,34.1,31.5,1.5,1.5,1.5,1.5
3,0400000US05,32.3,22.5,0.8,0.8,1,1
4,0400000US08,34.6,32.8,1,1,1.6,1.6
5,0400000US10,32.6,29.5,1.8,1.8,1.8,1.8
6,0400000US01,34.3,24.9,0.9,0.9,1.2,1.1
7,0400000US13,31,26.6,1,0.9,1.3,1.3
8,0400000US11,30.4,28.2,1.6,1.6,1.6,1.6
9,0400000US12,32.8,27.7,1,1,1.3,1.3
10,0400000US20,37.6,32.5,1.2,1.2,1.5,1.4
11,0400000US17,35.8,31.9,1.4,1.4,1.6,1.6
12,0400000US22,31.8,24.4,0.9,0.9,1,1
13,0400000US24,34.6,32.3,1.7,1.7,1.9,1.8
14,0400000US25,35.2,33.3,1.3,1.3,1.5,1.5
15,0400000US29,35,29.2,1.1,1.1,1.4,1.4
16,0400000US35,24,20.6,0.7,0.7,1,1
17,0400000US37,30,25.3,1,1,1.3,1.3
18,0400000US33,31.6,30.2,1.3,1.3,1.5,1.5
19,0400000US30,26.8,23.2,0.7,0.7,1.2,1.2
20,0400000US31,39.6,35,1.2,1.2,1.6,1.6
21,0400000US34,32.8,30.4,2,2,2,2
22,0400000US39,35.9,30.9,1.7,1.7,1.8,1.8
23,0400000US38,33.6,29.7,0.9,0.9,1.5,1.5
24,0400000US23,27,22.7,1,1,1.2,1.2
25,0400000US54,22.3,15.5,0.7,0.7,0.9,0.9
26,0400000US02,19.7,18.6,0.5,0.5,1.1,1
27,0400000US72,0.2,0.2,0.1,0.1,0.1,0.1
28,0400000US16,36.8,34.5,1,1,1.3,1.3
29,0400000US55,40.8,37.8,1.6,1.6,1.8,1.8
30,0400000US40,29.7,23.6,1,1,1.3,1.3
31,0400000US42,34.3,30.2,1.6,1.5,1.7,1.7
32,0400000US47,33.5,26.6,1.1,1.1,1.3,1.3
33,0400000US26,38.5,32.7,1.4,1.4,1.7,1.7
34,0400000US56,25.6,23.4,0.9,0.9,1.1,1.1
35,0400000US50,26.6,23.7,1.1,1.1,1.3,1.3
36,0400000US21,33.7,26.4,1.2,1.2,1.4,1.4
37,0400000US32,33.1,30.3,0.9,0.9,1.3,1.3
38,0400000US46,34.6,31,0.9,0.9,1.4,1.4
39,0400000US15,27.8,25.2,0.7,0.7,1.1,1
40,0400000US41,35.2,32.8,1.3,1.3,1.8,1.8
41,0400000US45,30,24.1,1,1,1.2,1.2
42,0400000US49,37.2,36.9,1,1,1.6,1.6
43,0400000US19,39.2,34.8,1.2,1.2,1.4,1.4
44,0400000US44,32.4,29.1,1.4,1.4,1.3,1.3
45,0400000US27,40,37.1,1.5,1.5,1.9,1.9
46,0400000US28,34.5,21.6,0.8,0.7,0.9,0.9
47,0400000US51,37,32.5,1.3,1.3,1.7,1.7
48,0400000US53,36.3,34.8,1.3,1.3,1.8,1.8
49,0400000US48,28.4,24.9,0.8,0.8,1.3,1.2
50,0400000US18,36.7,31.2,1.6,1.6,1.7,1.7
51,0400000US06,32.5,30.3,1.3,1.3,1.6,1.6
52,0400000US36,28.2,25.1,1.4,1.3,1.4,1.4
