,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,31.5,25.3,1.1,1.1,1.2,1.2,0500000US04003
2,20.2,20,0.9,0.9,0.9,0.9,0500000US04005
3,21.2,11.8,0.5,0.4,0.6,0.5,0500000US04007
4,28,25.3,1.2,1.2,1.2,1.2,0500000US04009
5,15.2,10.9,0.5,0.5,0.5,0.5,0500000US04011
6,4.7,2.5,0.4,0.4,0.4,0.4,0500000US04012
7,37.6,34.7,1.5,1.5,1.5,1.5,0500000US04013
8,34.3,27.7,1.2,1.1,1.2,1.1,0500000US04015
9,11.6,9.4,0.5,0.5,0.5,0.5,0500000US04017
10,36.8,33.1,1.4,1.4,1.4,1.4,0500000US04019
11,32.1,28.2,1.2,1.1,1.2,1.1,0500000US04021
12,20.5,17.7,1.3,1.2,1.2,1.2,0500000US04023
13,37.6,32.9,1.3,1.2,1.2,1.2,0500000US04025
14,23.6,16.2,0.8,0.8,0.9,0.8,0500000US04027
15,1.4,1,0.1,0.1,0.1,0.1,0500000US04001
1,38.7,35.2,1.7,1.7,1.8,1.7,0500000US09003
2,35.9,34.5,1.6,1.6,1.6,1.6,0500000US09005
3,34.8,33.4,1.6,1.6,1.6,1.6,0500000US09015
4,36.5,32.3,1.7,1.6,1.7,1.6,0500000US09009
5,39,36.4,1.8,1.8,1.9,1.8,0500000US09011
6,40.7,40.3,1.9,1.9,1.9,1.9,0500000US09013
7,37.1,35.3,1.8,1.8,1.8,1.8,0500000US09001
8,38.9,36.9,2,2,2,1.9,0500000US09007
1,31,19.2,1,1,1.2,1.2,0500000US05001
2,34.3,13.2,0.7,0.6,0.7,0.6,0500000US05003
3,42.7,20.6,0.9,0.8,0.8,0.8,0500000US05005
4,39.2,37.1,1.8,1.8,1.8,1.8,0500000US05007
5,36.1,28.1,1.7,1.6,1.6,1.5,0500000US05009
6,27.9,10.7,0.8,0.8,0.8,0.8,0500000US05011
7,17.6,7.5,0.9,0.9,0.9,0.8,0500000US05013
8,35.6,16.2,0.9,0.9,0.9,0.9,0500000US05015
9,27.9,10.2,0.5,0.5,0.5,0.5,0500000US05017
10,33.8,19.7,1.1,1.1,1.2,1.1,0500000US05019
11,38.5,12.6,0.9,0.7,0.8,0.7,0500000US05021
12,33,11.6,0.7,0.6,0.7,0.6,0500000US05023
13,34.5,12.2,0.8,0.8,0.8,0.7,0500000US05025
14,32,18.1,1.1,1,1.1,1,0500000US05027
15,35.6,21.3,1.3,1.2,1.4,1.3,0500000US05029
16,36.7,28.3,1.3,1.2,1.2,1.1,0500000US05031
17,34.7,23.7,1.2,1.1,1.2,1.2,0500000US05033
18,36.4,22,1.1,1,1.1,1.1,0500000US05035
19,34.2,18.1,0.9,0.9,1,1,0500000US05037
20,29.7,12.2,0.5,0.5,0.6,0.5,0500000US05041
21,35.7,14.9,0.8,0.7,0.8,0.7,0500000US05043
22,40.4,34.4,1.5,1.4,1.5,1.4,0500000US05045
23,40.3,13.6,0.9,0.8,0.9,0.8,0500000US05047
24,28.9,9.9,1,0.9,1,0.9,0500000US05049
25,36.2,22.8,1.2,1.1,1.2,1.1,0500000US05051
26,34,22.9,1,0.9,0.9,0.9,0500000US05053
27,38.8,27.5,1.1,1,1.1,1.1,0500000US05055
28,32.2,12.9,0.9,0.8,0.9,0.7,0500000US05057
29,38,18,0.9,0.8,1,0.9,0500000US05059
30,31,11.2,0.7,0.7,0.8,0.7,0500000US05061
