,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
22,24,22.3,0.9,0.9,0.9,0.9,0500000US53045
23,12.8,6,0.4,0.3,0.3,0.3,0500000US53047
24,15.9,12.6,0.6,0.6,0.7,0.7,0500000US53049
25,16.8,11.1,0.6,0.6,0.6,0.6,0500000US53051
26,35.6,34.6,1.9,1.9,1.9,1.9,0500000US53053
27,16,15.9,1.1,1.1,1.1,1.1,0500000US53055
28,32.5,31.3,1.7,1.7,1.7,1.7,0500000US53057
29,18.5,16.8,0.9,0.9,1,1,0500000US53059
30,37.2,36.7,2,2,2,2,0500000US53061
31,39.8,37.9,1.6,1.6,1.6,1.6,0500000US53063
32,29.7,15.1,0.5,0.5,0.5,0.5,0500000US53065
33,38.7,37.9,2.1,2.1,2.1,2.1,0500000US53067
34,33.7,11.1,1.3,1.2,1.3,1.2,0500000US53069
35,40.8,36.3,1.2,1.2,1.2,1.2,0500000US53071
36,37.6,37.2,2,2,2.1,2.1,0500000US53073
37,31.7,28.8,1.2,1.2,1.3,1.3,0500000US53075
38,30.1,24.2,1.1,1.1,1.2,1.2,0500000US53077
39,26,16.7,0.6,0.6,0.7,0.7,0500000US53001
1,27.2,13,0.7,0.7,0.8,0.8,0500000US48001
2,28,16.5,1.1,1.1,1.1,1.1,0500000US48003
3,28.3,19.2,0.9,0.9,0.9,0.9,0500000US48005
4,25.5,16.3,0.8,0.8,0.7,0.7,0500000US48119
5,34.3,34.1,1.6,1.6,1.6,1.6,0500000US48121
6,27.9,13.2,0.8,0.7,0.9,0.8,0500000US48123
7,19.3,7.1,0.8,0.8,0.8,0.8,0500000US48125
8,6.1,2.4,0.5,0.5,0.5,0.5,0500000US48129
9,5.5,2.2,0.1,0.1,0.2,0.1,0500000US48131
10,22.4,15.9,0.9,0.9,0.9,0.9,0500000US48135
11,1.1,1.1,0.1,0.1,0.1,0.1,0500000US48137
12,34.1,31.1,1.5,1.5,1.5,1.5,0500000US48139
13,22.6,19.5,1.2,1.2,1.3,1.3,0500000US48143
14,23.6,10.7,0.6,0.6,0.7,0.6,0500000US48145
15,29.8,18.9,1,1,1.1,1.1,0500000US48147
16,28,9.3,0.7,0.7,0.7,0.7,0500000US48151
17,19.4,7.3,0.8,0.8,0.8,0.8,0500000US48153
18,4,1.6,0.7,0.7,0.7,0.7,0500000US48155
19,19.3,17.1,0.9,0.9,0.9,0.9,0500000US48159
20,22.3,9.1,0.7,0.7,0.6,0.6,0500000US48161
21,16.3,6.9,0.2,0.2,0.3,0.3,0500000US48163
22,26.8,23.9,1,0.9,1,0.9,0500000US48167
23,22.4,6.3,0.3,0.2,0.4,0.3,0500000US48169
24,26.2,23.1,1.1,1.1,1.1,1.1,0500000US48171
25,23.9,9.3,0.8,0.8,0.8,0.8,0500000US48175
26,20.8,9,0.5,0.5,0.5,0.5,0500000US48177
27,25.7,18.9,0.6,0.6,0.6,0.6,0500000US48179
28,30.9,22.9,1.3,1.3,1.3,1.3,0500000US48183
29,22,14.5,0.7,0.7,0.7,0.7,0500000US48185
30,21,7.3,0.5,0.5,0.5,0.5,0500000US48191
31,25.9,12.3,0.9,0.9,0.9,0.9,0500000US48193
32,22.5,8.3,0.4,0.4,0.4,0.4,0500000US48197
