,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,23,22.8,1.6,1.6,1.6,1.6,0500000US04005
2,35.9,29.3,2.4,2.1,2.4,2.2,0500000US04003
3,23.3,13.2,0.9,0.7,1,0.7,0500000US04007
4,31.5,28.5,1.9,1.8,2,1.8,0500000US04009
5,17.3,12.6,1,0.9,1,0.9,0500000US04011
6,5.9,3.6,0.6,0.6,0.7,0.6,0500000US04012
7,42.1,39,2.6,2.5,2.6,2.5,0500000US04013
8,37.6,30.7,1.7,1.6,1.8,1.6,0500000US04015
9,13.1,10.6,0.8,0.7,0.8,0.7,0500000US04017
10,41.9,37.9,2.9,2.8,2.9,2.7,0500000US04019
11,35.8,31.6,2.1,2,2.1,1.9,0500000US04021
12,25.3,22.3,2.8,2.7,2.9,2.8,0500000US04023
13,40.8,35.8,1.7,1.5,1.6,1.5,0500000US04025
14,26.3,18.4,1.5,1.4,1.5,1.4,0500000US04027
15,1.8,1.4,0.2,0.2,0.2,0.2,0500000US04001
1,44.7,40.7,3,2.7,3,2.8,0500000US09003
2,40.3,38.8,2.4,2.3,2.4,2.4,0500000US09005
3,39.1,37.6,2.1,2.1,2.1,2.1,0500000US09015
4,41.4,36.7,2.7,2.4,2.7,2.4,0500000US09009
5,44.1,41.3,2.4,2.3,2.5,2.4,0500000US09011
6,48,47.5,3.5,3.5,3.6,3.5,0500000US09013
7,42.7,40.6,3,2.9,3,2.9,0500000US09001
8,44.3,42.1,3,2.9,2.9,2.8,0500000US09007
1,34.5,21.4,1.8,1.1,1.8,1.2,0500000US05001
2,37.7,14.8,1.5,0.9,1.5,0.9,0500000US05003
3,46.8,23.3,2.2,1.5,2.1,1.5,0500000US05005
4,45,42.7,3.4,3.3,3.4,3.3,0500000US05007
5,40.9,32.2,2.6,2.3,2.6,2.3,0500000US05009
6,31.4,12.7,2.2,1.4,2.1,1.3,0500000US05011
7,19.8,8.9,1.2,0.8,1.2,0.8,0500000US05013
8,40.2,18.8,2.5,1.5,2.5,1.5,0500000US05015
9,31.1,11.6,1.7,0.7,1.7,0.7,0500000US05017
10,37.8,22.4,2.2,1.4,2.2,1.5,0500000US05019
11,41.6,14.1,1.4,0.8,1.4,0.8,0500000US05021
12,37,13.1,2,0.9,2,0.9,0500000US05023
13,38.1,14.2,1.7,1.1,1.6,1.1,0500000US05025
14,35.9,20.4,2,1.2,2,1.3,0500000US05027
15,40.3,24.5,2.6,1.8,2.6,1.7,0500000US05029
16,41.2,32.1,2.5,2.3,2.5,2.2,0500000US05031
17,38.7,26.9,2.2,1.9,2.2,1.9,0500000US05033
18,40.4,24.5,1.9,1.2,2.1,1.3,0500000US05035
19,38.1,20.4,2.1,1.2,2.2,1.3,0500000US05037
20,44,15.4,1.7,1,1.6,0.9,0500000US05047
21,32.8,13.4,1.2,0.7,1.3,0.7,0500000US05041
22,39.6,16.9,1.8,1,1.9,1.1,0500000US05043
23,45.5,39,2.8,2.5,2.8,2.5,0500000US05045
24,32.6,11.7,1.9,1,1.9,1,0500000US05049
25,40.3,25.6,2.1,1.3,2.1,1.4,0500000US05051
26,37.4,25.1,1.6,1.2,1.6,1.1,0500000US05053
27,43.5,31.5,2,1.7,2.1,1.8,0500000US05055
28,36,15.1,2,1.2,2.1,1.2,0500000US05057
29,42.5,20.4,2.5,1.2,2.5,1.3,0500000US05059
30,34.2,12.6,1.3,0.6,1.3,0.6,0500000US05061
31,41,27.8,2.3,1.8,2.2,1.7,0500000US05063
32,17.2,7.8,1.1,0.8,1.1,0.8,0500000US05065
33,30.4,12.6,1.8,1.2,2,1.2,0500000US05067
34,39.4,22.6,2,1.4,2,1.4,0500000US05069
35,29.7,16.3,1.3,0.9,1.3,0.9,0500000US05071
36,26.6,9.7,1.4,0.7,1.4,0.7,0500000US05073
37,35.9,22,1.7,1.2,1.7,1.2,0500000US05075
38,30.5,10.7,1.3,0.8,1.4,0.9,0500000US05077
39,31.8,12.4,1.3,0.6,1.3,0.6,0500000US05079
40,34.7,12.5,1.6,0.7,1.6,0.7,0500000US05081
41,38.3,12.9,1.4,0.8,1.4,0.8,0500000US05083
42,43,37.8,2.3,2.1,2.4,2.2,0500000US05085
43,31.4,10.7,1.7,0.8,1.7,0.8,0500000US05087
44,25,15.4,1.5,1.1,1.5,1.1,0500000US05089
45,35.4,23.4,1.7,1.3,1.7,1.3,0500000US05091
46,34.3,18.9,1.9,1.2,1.9,1.1,0500000US05093
47,27.8,10.6,1.5,0.6,1.5,0.6,0500000US05095
48,27,8.8,1,0.4,0.9,0.4,0500000US05097
49,36.9,13.6,1.3,0.6,1.3,0.6,0500000US05099
50,5.1,4.3,0.7,0.7,0.7,0.7,0500000US05101
51,41.4,17.3,2.1,1,2.1,1,0500000US05103
52,39.1,14.1,1.8,0.9,1.9,0.9,0500000US05105
53,30.1,14.1,1.1,0.7,1.1,0.7,0500000US05107
54,31.7,10.9,1.7,0.7,1.7,0.7,0500000US05109
55,39.4,19.1,1.6,1,1.7,1.1,0500000US05111
56,34.8,18.1,1.7,1.1,1.7,1.1,0500000US05113
57,39.1,35.1,2.3,2.2,2.3,2.1,0500000US05115
58,24.7,11.3,1.6,1.1,1.6,1.1,0500000US05117
59,30.9,12.8,1.5,0.8,1.6,0.8,0500000US05039
60,41.7,36.2,2.6,2.3,2.7,2.4,0500000US05119
61,41.8,20.9,1.9,1.1,1.9,1.1,0500000US05121
62,28.7,14,1.7,1,1.7,1,0500000US05123
63,42.3,37.1,2.8,2.5,2.8,2.5,0500000US05125
64,30.3,10.4,1.2,0.6,1.3,0.6,0500000US05127
65,26.3,8.5,1.3,0.7,1.3,0.7,0500000US05129
66,42.8,33.2,2.7,2.4,2.7,2.3,0500000US05131
67,35.8,16.1,1.7,1.1,1.8,1.2,0500000US05133
68,37.2,13.8,1.6,0.7,1.7,0.7,0500000US05135
69,34.8,11.7,1.8,0.9,2,0.9,0500000US05137
70,39,19.4,1.6,1,1.5,1,0500000US05139
71,32.9,11,1.8,0.8,1.8,0.8,0500000US05141
72,41.3,39.1,3,2.9,3.1,3,0500000US05143
73,38.3,28.4,1.9,1.6,2,1.6,0500000US05145
74,21.5,8.2,1.3,0.8,1.3,0.8,0500000US05147
75,30.6,12,1.8,0.9,1.8,0.9,0500000US05149
1,44.7,42.4,4.2,4,4.3,4.1,0500000US08001
2,34.7,29,2.9,2.7,2.6,2.4,0500000US08003
3,49.7,48.2,4.3,4.3,4.3,4.3,0500000US08005
4,19.9,19.8,2,2,1.9,1.9,0500000US08007
5,27.3,10.1,1.7,1.3,1.7,1.2,0500000US08009
6,41.1,13.8,1.9,0.8,1.8,1,0500000US08011
7,51.4,51.1,4.4,4.3,4.4,4.4,0500000US08013
8,51.7,51.5,4.6,4.6,4.7,4.7,0500000US08014
9,34.5,32.8,2.8,2.7,2.8,2.8,0500000US08015
10,10.6,4.9,1.7,1.5,1.7,1.5,0500000US08017
11,25.4,25.3,2.9,2.9,2.8,2.8,0500000US08019
12,13.7,6.2,2,1.7,2,1.6,0500000US08021
13,5.4,3.6,1.3,1.2,1.3,1.2,0500000US08023
14,34.5,10.7,1.8,1.3,1.8,1.3,0500000US08025
15,16.8,16.7,2,2,2,2,0500000US08027
16,43.1,22,2.8,1.7,2.8,1.7,0500000US08029
17,44,42.1,4.1,3.9,4,3.9,0500000US08031
18,10,7.3,2,2,2,2,0500000US08033
19,53.7,53.5,4.9,4.9,4.8,4.8,0500000US08035
20,12.1,12,2.4,2.4,2.2,2.2,0500000US08037
21,47.8,45.6,3.9,3.8,4.2,4.1,0500000US08039
22,48.2,47.2,3.6,3.6,3.6,3.6,0500000US08041
23,44.3,28.6,2.5,2.2,2.4,2.1,0500000US08043
24,40.2,39.9,3.1,3.1,3.2,3.2,0500000US08045
25,25.8,25.7,3,3,2.9,2.9,0500000US08047
26,3.9,3.9,1.7,1.7,1.6,1.6,0500000US08049
27,19,18.9,2.2,2.1,2.2,2.2,0500000US08051
28,3.1,3.1,0.5,0.5,0.5,0.5,0500000US08053
29,19.9,11.2,1.7,1.6,1.7,1.5,0500000US08055
30,4.1,2.7,0.9,0.8,0.9,0.8,0500000US08057
31,54,53.4,5.5,5.5,5.5,5.4,0500000US08059
32,25.5,12.1,3.7,2.6,3.7,2.6,0500000US08061
33,32,27.1,2.3,2.1,2.3,2.2,0500000US08063
34,26.8,26.4,2.6,2.6,2.6,2.6,0500000US08065
35,32.7,32.6,3.2,3.2,3.3,3.3,0500000US08067
36,45.8,45.4,3.7,3.7,3.7,3.7,0500000US08069
37,31.3,14.3,2.2,1.4,2.2,1.3,0500000US08071
38,20.2,11.3,1.4,1.4,1.4,1.4,0500000US08073
39,44.8,32.8,2.2,2,2.2,2,0500000US08075
40,46.2,44.3,2.6,2.5,2.6,2.5,0500000US08077
41,9.1,8.8,2.6,2.6,2.6,2.6,0500000US08079
42,32.6,31.1,2.7,2.6,2.7,2.6,0500000US08081
43,36.8,36.3,2.5,2.5,2.7,2.7,0500000US08083
44,43.1,34,3,2.6,3,2.7,0500000US08085
45,17.3,17.2,4.1,4.1,3.3,3.3,0500000US08093
46,39.8,35.7,2.8,2.6,2.9,2.7,0500000US08087
47,39.2,25.8,2.3,1.8,2.2,1.8,0500000US08089
48,23.6,23.5,2,2,1.9,1.9,0500000US08091
49,47.2,34.9,2.1,1.5,2.1,1.7,0500000US08095
50,18.6,18.5,2,2,1.9,1.9,0500000US08097
51,30.8,21.7,1.9,1.5,1.8,1.5,0500000US08099
52,42.7,31.5,3.1,2.7,3.1,2.7,0500000US08101
53,21.9,21.7,1.5,1.5,1.4,1.4,0500000US08103
54,31.7,17.8,2,1.6,1.9,1.5,0500000US08105
55,16,15.9,1.8,1.8,1.8,1.8,0500000US08107
56,9.8,5.5,1.5,1.4,1.4,1.3,0500000US08109
57,3.6,3.6,0.5,0.5,0.5,0.5,0500000US08111
58,12.1,11.9,2.9,2.9,2.8,2.7,0500000US08113
59,38.7,14.2,1.7,1,1.7,1,0500000US08115
60,10.4,10.3,1.9,1.9,1.8,1.8,0500000US08117
61,32.1,31.9,2.6,2.6,2.4,2.4,0500000US08119
62,42.2,14.9,2.3,1.6,2.4,1.6,0500000US08121
63,42.6,40.4,3.6,3.5,3.6,3.5,0500000US08123
64,48.7,18,2.5,1.4,2.5,1.4,0500000US08125
1,44,41.9,3.5,3.4,3.6,3.4,0500000US10003
2,34.7,28.9,2.2,1.9,2.2,1.9,0500000US10005
3,43,37.8,3,2.7,3.1,2.8,0500000US10001
1,49.4,41.9,2.9,2.6,3,2.6,0500000US01001
2,35.8,29.9,1.9,1.7,1.7,1.6,0500000US01003
3,37.8,20.5,1.9,1.3,1.8,1.2,0500000US01005
4,39.9,16.9,1.7,0.8,1.7,0.8,0500000US01007
5,42.6,27.7,2,1.4,2.1,1.4,0500000US01009
