,GEO_ID,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT
1,0400000US04,38.8,35.1,1.7,1.6,2.4,2.3
2,0400000US09,43,39.9,2.8,2.7,2.9,2.7
3,0400000US05,39.3,27.9,1.8,1.2,2.3,1.9
4,0400000US08,44.1,42,2.5,2.3,3.8,3.7
5,0400000US10,40.8,37.1,3,2.7,3.1,2.9
6,0400000US01,41.6,30.5,1.9,1.3,2.2,1.8
7,0400000US13,39.1,33.8,2,1.5,2.7,2.4
8,0400000US11,39.9,37.2,4.3,4.2,4.3,4.2
9,0400000US12,40.1,34.1,2,1.6,2.5,2.2
10,0400000US20,46.1,40.1,2.2,1.7,2.9,2.6
11,0400000US17,45.9,41.3,2.7,2.2,3.8,3.6
12,0400000US22,38.6,29.9,1.9,1.4,2.2,1.9
13,0400000US24,44.1,41.3,3.2,3,3.9,3.7
14,0400000US25,42.9,40.8,2.3,2.2,2.6,2.5
15,0400000US29,43.2,36.5,2,1.6,2.7,2.4
16,0400000US35,30.7,26.6,1.7,1.4,2.4,2.2
17,0400000US37,38.4,32.7,2.7,2.3,3.2,2.9
18,0400000US33,39,37.3,2.1,2,2.6,2.5
19,0400000US30,33.1,29.1,1.6,1.5,2.1,2
20,0400000US31,47.3,42,1.7,1.3,2.4,2.2
21,0400000US34,42.6,39.7,3.4,3.2,3.5,3.3
22,0400000US39,45.1,39.1,3.1,2.6,3.4,3
23,0400000US38,41.5,37.2,2.2,1.9,2.5,2.4
24,0400000US23,33,28.1,1.8,1.5,2.1,1.9
25,0400000US54,29.6,21.6,2.4,1.9,2.6,2.2
26,0400000US02,25.5,24.1,1,1,1.8,1.8
27,0400000US72,2.1,2,0.5,0.4,0.6,0.6
28,0400000US16,44.2,41.7,1.8,1.6,2.4,2.3
29,0400000US55,48.4,45,1.8,1.6,2,1.9
30,0400000US40,37.1,29.9,1.8,1.4,2.5,2.1
31,0400000US42,42.8,38,2.9,2.6,3.3,3
32,0400000US47,42,33.8,2.3,1.8,2.9,2.5
33,0400000US26,48.1,41.3,2.4,2,3.5,3.2
34,0400000US56,32.1,29.6,1.9,1.8,2.1,2
35,0400000US50,32.5,29.1,1.5,1.3,1.6,1.5
36,0400000US21,42,33.4,2.6,1.9,2.9,2.5
37,0400000US32,40.4,37,1.7,1.6,2.5,2.4
38,0400000US46,42,37.9,1.7,1.5,2.2,2.1
39,0400000US15,33.9,30.9,2,1.8,2,1.8
40,0400000US41,42.9,40.1,1.9,1.6,2.4,2.3
41,0400000US45,37.2,30,2.3,1.6,2.4,2
42,0400000US49,46.1,45.6,2,2,3.2,3.2
43,0400000US19,47.4,42.3,2.2,1.9,2.6,2.4
44,0400000US44,38.8,35,2.5,2.4,2.3,2.1
45,0400000US27,49.9,46.5,2.7,2.4,3.5,3.3
46,0400000US28,41.5,26.4,1.9,1.2,2.2,1.6
47,0400000US51,46.8,41.5,3.3,2.8,4.1,3.9
48,0400000US53,45,43.3,2.3,2.1,3,2.9
49,0400000US48,36.5,32.2,1.9,1.5,3,2.8
50,0400000US18,45,38.6,2.4,1.9,2.7,2.4
51,0400000US06,40.9,38.2,2.4,2.2,3.1,2.9
52,0400000US36,36.1,32.3,2.3,2,2.9,2.7
