,GEO_ID,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT
1,0400000US04,41.2,37.3,0.7,0.6,0.9,0.8
2,0400000US09,45.6,42.3,1.1,1,1,0.9
3,0400000US05,41.5,29.5,0.9,0.5,1,0.7
4,0400000US08,47.1,44.8,0.9,0.7,1.1,1
5,0400000US10,43.1,39.2,0.9,0.7,0.9,0.8
6,0400000US01,43.9,32.3,1,0.5,1,0.6
7,0400000US13,41.5,35.9,1,0.6,1,0.8
8,0400000US11,42.2,39.3,0.8,0.7,0.8,0.7
9,0400000US12,42.4,36.2,1,0.7,1,0.8
10,0400000US20,48.4,42.2,0.9,0.6,0.9,0.8
11,0400000US17,48.5,43.5,1,0.7,1,0.8
12,0400000US22,40.9,31.7,0.9,0.5,1,0.7
13,0400000US24,46.9,43.9,1,0.9,1.1,0.9
14,0400000US25,45.2,43,0.8,0.8,0.9,0.9
15,0400000US29,45.4,38.4,0.9,0.5,0.9,0.7
16,0400000US35,32.9,28.6,0.8,0.6,1,0.8
17,0400000US37,41.1,35.1,1.1,0.7,1.1,0.9
18,0400000US33,41.4,39.7,1,0.9,1.1,1
19,0400000US30,35.7,31.4,0.9,0.7,1.1,1
20,0400000US31,49.5,44,0.9,0.6,0.9,0.8
21,0400000US34,45,42,1,0.8,1,0.8
22,0400000US39,47.8,41.5,1.1,0.8,1.1,0.9
23,0400000US38,43.7,39.2,0.8,0.6,0.9,0.8
24,0400000US23,35.1,29.9,0.8,0.7,0.9,0.8
25,0400000US54,31.7,23.3,0.9,0.6,0.9,0.6
26,0400000US02,27.5,26,0.5,0.4,0.7,0.7
27,0400000US72,3,2.9,0.3,0.3,0.4,0.4
28,0400000US16,46.8,44.2,0.8,0.7,1,1
29,0400000US55,51,47.4,0.9,0.8,1.1,1
30,0400000US40,39.3,31.8,0.9,0.6,1,0.8
31,0400000US42,45.3,40.3,0.9,0.7,1,0.8
32,0400000US47,44.5,35.9,1.1,0.6,1.1,0.8
33,0400000US26,50.6,43.5,1,0.6,1.1,0.8
34,0400000US56,34.5,31.8,1,0.9,1,1
35,0400000US50,34.6,31.1,0.9,0.8,1,0.9
36,0400000US21,44.9,35.9,1.3,0.7,1.3,0.9
37,0400000US32,42.8,39.3,0.8,0.7,1,0.9
38,0400000US46,44.1,39.9,0.9,0.7,0.9,0.8
39,0400000US15,36.5,33.3,1,0.9,1,0.9
40,0400000US41,45.4,42.4,0.8,0.6,1,0.9
41,0400000US45,39.7,32.2,1.1,0.6,1.1,0.8
42,0400000US49,48.9,48.5,0.8,0.8,1,1
43,0400000US19,49.7,44.4,0.9,0.7,0.9,0.8
44,0400000US44,41,36.9,1,0.9,0.9,0.8
45,0400000US27,53,49.5,1.1,0.9,1.2,1.1
46,0400000US28,43.6,27.7,0.9,0.3,0.9,0.5
47,0400000US51,49.6,44.1,1.2,0.8,1.2,1
48,0400000US53,47.9,46.1,1.1,0.9,1.2,1.2
49,0400000US48,39,34.4,0.9,0.6,1.1,0.9
50,0400000US18,47.6,40.9,1.1,0.7,1.1,0.8
51,0400000US06,43.5,40.5,0.9,0.7,0.9,0.8
52,0400000US36,38.3,34.4,0.9,0.7,1,0.8
