,GEO_ID,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT
1,0400000US04,34.6,31.2,0.9,0.9,1.4,1.3
2,0400000US09,37.6,34.8,1.8,1.8,1.8,1.7
3,0400000US05,34.9,24.5,1,0.9,1.3,1.2
4,0400000US08,38,36,1.2,1.1,1.8,1.8
5,0400000US10,35.9,32.6,1.6,1.5,1.6,1.5
6,0400000US01,37.3,27.1,1,1,1.3,1.2
7,0400000US13,34.1,29.3,1.1,1,1.5,1.5
8,0400000US11,33.5,31.2,1.6,1.5,1.6,1.5
9,0400000US12,35.7,30.3,1.1,1,1.4,1.4
10,0400000US20,40.8,35.3,1.3,1.3,1.6,1.5
11,0400000US17,39.4,35.2,1.5,1.4,1.8,1.8
12,0400000US22,34.4,26.5,1,1,1.3,1.2
13,0400000US24,38,35.5,1.4,1.3,1.5,1.5
14,0400000US25,38.3,36.4,1.4,1.4,1.5,1.5
15,0400000US29,38,31.9,1.1,1,1.4,1.4
16,0400000US35,26.5,22.9,0.9,0.9,1.4,1.3
17,0400000US37,33,28,1.2,1.2,1.5,1.5
18,0400000US33,34.8,33.3,1.3,1.3,1.5,1.5
19,0400000US30,29.3,25.6,1,0.9,1.4,1.3
20,0400000US31,42.6,37.7,1.2,1.1,1.4,1.4
21,0400000US34,36.5,34,1.8,1.8,1.8,1.8
22,0400000US39,39.3,34,1.5,1.5,1.6,1.6
23,0400000US38,36.7,32.7,1.4,1.3,1.7,1.6
24,0400000US23,29.6,25,1.1,1,1.2,1.2
25,0400000US54,24.6,17.5,1.1,1.1,1.2,1.2
26,0400000US02,22,20.8,0.5,0.5,1.3,1.3
27,0400000US72,0.8,0.8,0.4,0.4,0.5,0.5
28,0400000US16,39.8,37.4,1.4,1.3,1.7,1.7
29,0400000US55,44.3,41.2,1.5,1.5,1.7,1.6
30,0400000US40,32.5,26,1,1,1.4,1.4
31,0400000US42,37.5,33.3,1.4,1.4,1.6,1.5
32,0400000US47,36.6,29.2,1.1,1,1.4,1.4
33,0400000US26,41.9,35.8,1.4,1.3,1.7,1.7
34,0400000US56,28.1,25.7,1.2,1.2,1.5,1.5
35,0400000US50,29.4,26.3,1.2,1.2,1.3,1.3
36,0400000US21,36.9,29.1,1.2,1.1,1.5,1.4
37,0400000US32,36,32.9,1.1,1.1,1.5,1.5
38,0400000US46,37.5,33.7,1,1,1.5,1.4
39,0400000US15,30.2,27.4,0.9,0.8,1.3,1.2
40,0400000US41,38.6,36,1.3,1.2,1.7,1.6
41,0400000US45,32.9,26.5,1.2,1,1.4,1.3
42,0400000US49,40.6,40.2,1.3,1.3,2,1.9
43,0400000US19,42.4,37.7,1.5,1.4,1.6,1.6
44,0400000US44,35.1,31.7,1.3,1.3,1.3,1.2
45,0400000US27,43.8,40.7,1.6,1.5,1.8,1.8
46,0400000US28,37.2,23.4,1,0.8,1.2,1.1
47,0400000US51,40.3,35.5,1.3,1.3,1.6,1.6
48,0400000US53,39.8,38.3,1.5,1.4,1.9,1.8
49,0400000US48,31.3,27.5,1.1,1,1.6,1.5
50,0400000US18,40.1,34.3,1.5,1.4,1.6,1.6
51,0400000US06,35.7,33.3,1.3,1.3,1.6,1.6
52,0400000US36,31.1,27.8,1.4,1.3,1.5,1.5
