,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,14.4,10.7,2.9,1.8,3.3,2.2,0500000US04003
2,9.3,9.3,1.6,1.6,1.6,1.6,0500000US04005
3,12.2,6,2.2,0.7,2.6,0.8,0500000US04007
4,13.2,11.7,2,1.5,2.1,1.5,0500000US04009
5,6.3,3.7,1.8,0.6,1.9,0.6,0500000US04011
6,2.2,0.7,0.4,0.1,0.5,0.1,0500000US04012
7,19.1,17.1,3,2.5,3.1,2.6,0500000US04013
8,19.4,15.1,2.2,1.5,2.2,1.6,0500000US04015
9,5.8,4.3,1,0.7,1.1,0.8,0500000US04017
10,18.8,16.5,3.4,2.6,3.4,2.6,0500000US04019
11,16.3,13.8,3,2.3,3.2,2.5,0500000US04021
12,6.4,5,1.4,0.7,1.2,0.7,0500000US04023
13,19,15.9,4.2,3.4,4.3,3.5,0500000US04025
14,12.6,7.7,2,0.9,2.1,0.9,0500000US04027
15,0.7,0.4,0.1,0,0.1,0,0500000US04001
1,16.4,14.6,3.3,3,3.4,3.1,0500000US09003
2,15.7,14.9,2.9,2.7,3,2.8,0500000US09005
3,15.3,14.5,2.6,2.4,2.6,2.5,0500000US09015
4,16.1,13.9,2.8,2.4,2.8,2.4,0500000US09009
5,17.2,15.7,3.4,3.2,3.4,3.1,0500000US09011
6,15.1,14.9,4.5,4.5,4.5,4.4,0500000US09013
7,16.5,15.6,2.6,2.4,2.6,2.4,0500000US09001
8,16.2,15,3.3,3.2,3.3,3.2,0500000US09007
1,16.2,9.2,2.7,0.9,2.6,1,0500000US05001
2,19.5,6.2,2.4,0.7,2.4,0.7,0500000US05003
3,25.6,10.6,3.4,1.2,3.4,1.2,0500000US05005
4,17.9,16.7,3.5,3.3,3.5,3.3,0500000US05007
5,18.7,13.8,2.8,1.9,2.9,1.9,0500000US05009
6,14.5,4.6,2.5,0.4,2.4,0.4,0500000US05011
7,9.7,3.1,2.2,0.3,2,0.3,0500000US05013
8,19.4,7.5,3.3,1,3.4,1,0500000US05015
9,13.2,3.8,3,0.6,2.9,0.6,0500000US05017
10,18.6,9.5,3.1,1.4,3,1.4,0500000US05019
11,21.4,6.5,4.1,0.5,4.2,0.5,0500000US05021
12,18.4,6.2,2.7,0.5,2.8,0.5,0500000US05023
13,20.3,6.4,3.9,0.8,3.9,0.8,0500000US05025
14,17.3,9.1,3,1,3,1,0500000US05027
15,19.7,10.9,2.8,1.1,3,1.1,0500000US05029
16,17.1,12.4,3.2,2.2,3.2,2.1,0500000US05031
17,17.2,10.5,2.8,1.6,2.8,1.6,0500000US05033
18,17.5,9.7,3.4,1.4,3.7,1.5,0500000US05035
19,16.3,8,2.6,0.7,2.7,0.8,0500000US05037
20,15.3,5.1,3.4,1.3,3.3,1.3,0500000US05041
21,20.8,7.5,2.8,0.8,2.6,0.7,0500000US05043
22,20.9,17.3,2.8,2.2,2.8,2.2,0500000US05045
23,23.1,6.5,4.2,0.5,4.2,0.5,0500000US05047
24,14.9,4.5,3.3,0.4,3.3,0.4,0500000US05049
25,19.2,11.1,3.2,1.5,3.2,1.6,0500000US05051
26,17.1,10.4,3,1.8,3.1,1.5,0500000US05053
27,17.9,11.5,3.8,2,3.9,2.1,0500000US05055
28,16.8,6.2,2.9,0.8,2.9,0.7,0500000US05057
29,21.2,9,2.3,0.8,2.4,0.8,0500000US05059
30,17.2,4.9,2.8,0.5,2.8,0.5,0500000US05061
