,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,26.8,21.2,1.9,1.2,2,1.4,0500000US04003
2,16.8,16.7,1.1,1.1,1.1,1.1,0500000US04005
3,18.5,9.9,1.4,0.7,1.6,0.7,0500000US04007
4,23.6,21.1,2,1.7,2.1,1.7,0500000US04009
5,12.8,8.7,1.2,0.9,1.2,0.9,0500000US04011
6,3.6,1.6,0.3,0.1,0.3,0.2,0500000US04012
7,31.9,29.2,2.1,1.9,2.1,1.9,0500000US04013
8,29.7,23.8,1.8,1.4,1.9,1.5,0500000US04015
9,9.8,7.7,0.8,0.6,0.8,0.6,0500000US04017
10,31.7,28.4,1.8,1.5,1.8,1.5,0500000US04019
11,27.7,24.1,1.9,1.5,1.9,1.6,0500000US04021
12,15.5,13.1,1.9,1.4,1.7,1.4,0500000US04023
13,32.6,28.2,2.2,1.9,2.2,1.9,0500000US04025
14,19.8,13.1,1.5,1,1.6,1.1,0500000US04027
15,1.2,0.8,0.1,0.1,0.1,0.1,0500000US04001
1,32.3,29.1,2.4,1.9,2.4,2,0500000US09003
2,29.8,28.6,2.1,1.9,2.1,2,0500000US09005
3,28.7,27.4,2.2,2.1,2.2,2.1,0500000US09015
4,30.5,26.6,2.4,1.9,2.4,1.9,0500000US09009
5,32.7,30.3,2.3,2,2.3,2,0500000US09011
6,33.5,33.2,2.2,2.2,2.3,2.2,0500000US09013
7,30.4,28.8,1.8,1.6,1.8,1.6,0500000US09001
8,32.2,30.4,2.1,2,2.2,2,0500000US09007
1,26.4,15.5,2.1,0.8,2,0.8,0500000US05001
2,30.6,10.8,2.6,0.4,2.9,0.5,0500000US05003
3,38.1,17.3,3.3,1.4,3.2,1.4,0500000US05005
4,33,31.1,2.4,2.2,2.4,2.2,0500000US05007
5,30.8,23.5,2.5,1.7,2.5,1.7,0500000US05009
6,24.4,8.3,2.5,0.3,2.4,0.3,0500000US05011
7,14.7,5.3,1.2,0.4,1.1,0.4,0500000US05013
8,31,13,3.3,1.3,3.3,1.3,0500000US05015
9,24.1,8,2.9,0.3,2.7,0.4,0500000US05017
10,28.8,15.6,2,0.7,2,0.7,0500000US05019
11,33.5,9.6,2.1,0.4,2.2,0.4,0500000US05021
12,29,8.8,2.6,0.4,2.6,0.4,0500000US05023
13,30.1,9.5,2.3,0.4,2.3,0.4,0500000US05025
14,27.1,14.3,2.2,0.7,2.3,0.6,0500000US05027
15,31.1,17.6,1.7,0.7,1.8,0.7,0500000US05029
16,31.4,23.8,1.8,1.2,1.8,1.1,0500000US05031
17,29.7,19.6,2.7,1.7,2.7,1.7,0500000US05033
18,31.5,18.1,2.5,0.8,2.5,0.8,0500000US05035
19,29.3,14.6,2.2,0.5,2.4,0.7,0500000US05037
20,26.3,9.9,2.2,0.5,2.2,0.5,0500000US05041
21,31,11.8,2.4,0.4,2.4,0.4,0500000US05043
22,34.5,28.9,1.9,1.3,2,1.3,0500000US05045
23,35.7,10.6,3.8,1.1,3.8,1.1,0500000US05047
24,25,7.3,2.6,0.5,2.6,0.5,0500000US05049
25,31.4,18.8,2.2,0.8,2.1,0.8,0500000US05051
26,29.2,18.7,2.1,1.3,2.1,1.1,0500000US05053
27,33.2,23,2.2,1.2,2.1,1.2,0500000US05055
28,28.1,10,2.7,0.7,2.7,0.7,0500000US05057
29,33,14.2,2.7,0.6,2.7,0.7,0500000US05059
30,27.5,8.4,2.2,0.4,2.3,0.4,0500000US05061
31,31.8,20.5,2.3,1.1,2.3,1.1,0500000US05063
32,11.9,3.7,1,0.3,1.1,0.3,0500000US05065
33,22.6,7.6,1.7,0.4,1.9,0.4,0500000US05067
34,31.5,17.1,2.6,0.7,2.6,0.8,0500000US05069
35,22.5,11,1.7,0.5,1.7,0.5,0500000US05071
36,20.5,6.1,2.2,0.6,2.1,0.5,0500000US05073
37,26.7,15.2,2.2,0.9,2.1,0.9,0500000US05075
38,24.5,7.4,2,0.5,2.2,0.6,0500000US05077
39,25.4,8.4,2.3,0.5,2.4,0.5,0500000US05079
40,26.9,8.1,1.9,0.4,1.9,0.4,0500000US05081
41,30.2,8.5,3.1,0.8,3.1,0.7,0500000US05083
42,32.9,28.4,1.7,1.3,1.7,1.3,0500000US05085
43,24.7,7.1,2.9,0.8,2.9,0.8,0500000US05087
44,18.6,10.4,1.4,0.7,1.5,0.7,0500000US05089
45,27,17,1.9,0.9,1.9,0.9,0500000US05091
46,26.6,13.8,2.1,0.5,2.1,0.6,0500000US05093
47,22.3,7.4,1.6,0.3,1.6,0.3,0500000US05095
48,21.3,5.8,2,0.2,1.9,0.2,0500000US05097
49,29.6,9.5,2.2,0.4,2.3,0.5,0500000US05099
50,1.1,0.4,0.1,0.1,0.1,0.1,0500000US05101
51,32.3,11.9,3.5,1,3.5,0.9,0500000US05103
52,31.1,9.6,2.6,0.3,2.4,0.3,0500000US05105
53,23.9,10.3,1.9,0.6,2,0.6,0500000US05107
54,24.6,6.9,1.9,0.4,2,0.5,0500000US05109
55,30.6,13.6,2.3,0.6,2.2,0.6,0500000US05111
56,26.7,12.5,2.3,0.7,2.3,0.7,0500000US05113
57,28.8,25.5,1.7,1.4,1.7,1.4,0500000US05115
58,18.9,7.2,1.8,0.6,1.8,0.6,0500000US05117
59,23.2,8.1,1.3,0.3,1.5,0.3,0500000US05039
60,31.5,26.9,1.8,1.1,1.8,1.2,0500000US05119
61,31.6,14.6,2.3,0.8,2.3,0.8,0500000US05121
62,21.4,9.4,1.9,0.5,1.9,0.5,0500000US05123
63,31.8,27.6,1.8,1.3,1.8,1.4,0500000US05125
64,24.1,7.3,2.6,0.8,2.7,0.8,0500000US05127
65,20.3,4.7,2.1,0.5,2.1,0.4,0500000US05129
66,32.1,24,2.6,1.8,2.7,1.8,0500000US05131
67,27.4,10.5,2.3,0.5,2.4,0.5,0500000US05133
68,29.1,9.3,2.5,0.4,2.5,0.4,0500000US05135
69,27.1,7.7,2.3,0.4,2.3,0.4,0500000US05137
70,30.6,13.9,2.7,0.7,2.7,0.7,0500000US05139
71,25.2,6.9,2,0.3,2.1,0.3,0500000US05141
72,30.2,28.3,2,1.8,2.1,1.9,0500000US05143
73,29.2,21,1.8,1,1.8,1,0500000US05145
74,15.7,4.5,1.3,0.2,1.2,0.2,0500000US05147
75,23,7.6,1.7,0.3,1.7,0.3,0500000US05149
1,30.5,28.8,2.3,2.1,2.3,2.1,0500000US08001
2,24.9,20.3,2.4,2,2.4,1.9,0500000US08003
3,35.1,33.8,2.4,2.3,2.4,2.3,0500000US08005
4,13.5,13.4,0.8,0.8,0.9,0.9,0500000US08007
5,20.1,6,2.8,0.9,2.8,0.9,0500000US08009
6,32.6,9.7,4.3,1.3,3.7,1.3,0500000US08011
7,36.7,36.5,2.4,2.4,2.4,2.4,0500000US08013
8,36.8,36.7,2.2,2.2,2.3,2.3,0500000US08014
9,25.2,23.9,1.3,1.3,1.3,1.3,0500000US08015
10,7.2,2.3,0.4,0.2,0.4,0.2,0500000US08017
11,16.8,16.7,1,1,1.1,1.1,0500000US08019
12,8.6,2.8,1,0.4,1.1,0.4,0500000US08021
13,2.5,1,0.2,0.1,0.2,0.1,0500000US08023
14,27.3,7,2.9,0.9,3.1,0.9,0500000US08025
15,11,10.9,0.7,0.7,0.7,0.7,0500000US08027
16,31.3,15.3,3.9,1.7,4,1.7,0500000US08029
17,31,29.4,2.2,2,2.1,2,0500000US08031
18,5.2,3,0.5,0.2,0.5,0.2,0500000US08033
19,37.3,37.1,2.9,2.9,2.9,2.9,0500000US08035
20,6.8,6.8,0.6,0.6,0.6,0.6,0500000US08037
21,33.7,31.8,2.1,1.8,2.2,2.1,0500000US08039
22,35.3,34.5,2.4,2.3,2.4,2.3,0500000US08041
23,34.4,20.9,2.4,1.4,2.7,1.4,0500000US08043
24,28.1,27.8,2.3,2.3,2.4,2.3,0500000US08045
25,17,16.9,1.5,1.5,1.5,1.5,0500000US08047
26,1.1,1.1,0.1,0.1,0.1,0.1,0500000US08049
27,12.7,12.6,1.4,1.4,1.2,1.2,0500000US08051
28,2.2,2.2,0.1,0.1,0.1,0.1,0500000US08053
29,14.3,7.2,1.1,0.6,1.2,0.6,0500000US08055
30,2.3,1.1,0.3,0.2,0.3,0.2,0500000US08057
31,37.7,37.2,2.6,2.6,2.6,2.6,0500000US08059
32,15.3,4.3,1.7,0.5,1.7,0.5,0500000US08061
33,23.6,19.4,1.5,0.9,1.3,0.8,0500000US08063
34,18.2,17.9,1.5,1.5,1.5,1.5,0500000US08065
35,21.8,21.6,1.4,1.4,1.4,1.4,0500000US08067
36,32.6,32.3,2.4,2.3,2.3,2.3,0500000US08069
37,22.2,8.8,2.8,1.1,2.6,1,0500000US08071
38,15,7.5,0.9,0.4,0.9,0.4,0500000US08073
39,34.3,23.9,2.5,1.6,2.7,1.9,0500000US08075
40,34,32.6,2.5,2.4,2.6,2.4,0500000US08077
41,4.5,4.4,0.5,0.4,0.5,0.4,0500000US08079
42,21.9,20.7,2.2,2,2.4,2.2,0500000US08081
43,26.6,26.2,1.3,1.3,1.4,1.4,0500000US08083
44,31.1,24,2.6,1.8,2.7,1.9,0500000US08085
45,28.1,24.7,2,1.5,1.8,1.5,0500000US08087
46,29.6,18.4,2.5,1.5,2.3,1.5,0500000US08089
47,16.2,16.1,2,1.9,1.4,1.4,0500000US08091
48,9.1,9,0.9,0.9,0.7,0.7,0500000US08093
49,34.9,24.6,3.5,1.9,3.6,2.4,0500000US08095
50,11.9,11.9,1,1,0.9,0.9,0500000US08097
51,22.6,14.9,2.1,1.2,2.3,1.6,0500000US08099
52,31.6,22.2,2.7,1.8,2.7,1.8,0500000US08101
53,14.1,13.9,1.6,1.6,1.5,1.5,0500000US08103
54,23.4,11.8,2.2,1.1,2,1.1,0500000US08105
55,10.2,10.2,0.8,0.8,0.7,0.7,0500000US08107
56,6.4,2.6,1,0.4,0.9,0.4,0500000US08109
57,1.8,1.8,0,0,0,0,0500000US08111
58,5.1,5,0.6,0.6,0.6,0.6,0500000US08113
59,30.5,9.8,3.1,1.3,3.1,1.3,0500000US08115
60,5.7,5.6,0.6,0.6,0.6,0.6,0500000US08117
61,23,22.9,1.6,1.6,1.5,1.5,0500000US08119
62,31.7,9.6,3.1,0.8,3.1,0.8,0500000US08121
63,29.8,28,2.5,2.2,2.3,2.1,0500000US08123
64,36.8,11.7,4.4,1.5,4.4,1.5,0500000US08125
1,30.6,29,1.8,1.6,1.7,1.6,0500000US10003
2,25.8,21,1.6,1,1.5,1,0500000US10005
3,30.4,26.2,1.8,1.4,1.8,1.4,0500000US10001
1,37.8,31.4,2.3,1.6,2.3,1.6,0500000US01001
2,27,21.8,1.9,1.3,1.8,1.2,0500000US01003
3,29.3,14.6,2.7,1.1,2.7,1,0500000US01005
